Em casa ou na propriedade;Município de residência;Outro município;País estrangeiro;Mais de um município ou país;Sexo;Município;Sigla UF;Código do Município
11,92;82,27;4,13;0,04;1,64;Homens;São José do Rio Preto ;SP;3549805
16,82;80,4;2,33;0,03;0,42;Mulheres;São José do Rio Preto ;SP;3549805
